section,brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,page,size,source_docId,source_url,note
mens,Atomic,Alibi,Alibi,EXACT,verified,2007/08,2008,4,156,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Atomic,Axum,Axum,EXACT,verified,2007/08,2008,4,156,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Atomic,Rapture,Rapture,EXACT,verified,2007/08,2008,5,159,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Atomic,Triarc,Triarc,EXACT,verified,2007/08,2008,5,163,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Atomic,Hatchet,Hatchet,EXACT,verified,2007/08,2008,5,156,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Atomic,Pivot,Pivot,EXACT,verified,2007/08,2008,5,156,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Burton,Vapor,Vapor,EXACT,verified,2007/08,2008,6,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Burton,Custom X,Custom X,EXACT,verified,2007/08,2008,6,158,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Burton,T6,T6,EXACT,verified,2007/08,2008,6,159,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Burton,Jeremy Jones,Jeremy Jones,EXACT,verified,2007/08,2008,6,156,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Burton,Jussi,Jussi,EXACT,verified,2007/08,2008,6,159,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Burton,Custom,Custom,EXACT,verified,2007/08,2008,6,158,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Burton,Twin,Twin,EXACT,verified,2007/08,2008,6,157,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
mens,Burton,Malolo,Malolo,EXACT,verified,2007/08,2008,6,162,blue-tomato-snowboardkatalog0708,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0708,
