table,row_id,old_url,new_url,status
results,us-open-snowboarding--1985,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1985,https://web.archive.org/web/20021202101659/http://usopen-snowboarding.com/history.asp?yearNum=1985,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1987,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1987,https://web.archive.org/web/20021202103432/http://usopen-snowboarding.com/history.asp?yearNum=1987,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1988,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1988,https://web.archive.org/web/20021202103907/http://usopen-snowboarding.com/history.asp?yearNum=1988,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
results,us-open-snowboarding--1989,https://web.archive.org/web/20021202101735/http://usopen-snowboarding.com/history.asp?yearNum=1989,https://web.archive.org/web/20021202113930/http://usopen-snowboarding.com/history.asp?yearNum=1989,repaired
